time,sample_time,trial_id,rep,joint_index,joint_name,effort_mag,direction,test_effort,q,q_deg,qdot,qddot,q_start,q_start_deg,q_delta,safe_min_deg,safe_max_deg,gravity_effort,command_effort,lock_joint_index,lock_joint_name,lock_q,lock_q_deg,lock_target,lock_err,stop_reason
1786429981.0515354,6.008148193359375e-05,1,1,5,joint_2_2,0.05,1,0.05,-0.00017453292519943294,-0.009999999999999998,0.0,0.0,-0.00017453292519943294,-0.009999999999999998,0.0,5.0,116.0,0.010427585665956295,0.060427585665956296,4,joint_2_1,-0.01727875959474386,-0.9899999999999999,0.0,0.01727875959474386,
1786429981.0570815,0.005606174468994141,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.031469527396426895,5.674179547628876,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.010424250257417828,0.06042425025741783,4,joint_2_1,-0.016929693744344994,-0.9699999999999999,0.0,0.016929693744344994,
1786429981.0625687,0.011093378067016602,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.0,-5.735075587092892,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.010424250257417828,0.06042425025741783,4,joint_2_1,-0.016929693744344994,-0.9699999999999999,0.0,0.016929693744344994,
1786429981.0681806,0.01670527458190918,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.0,0.0,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.01042476146763416,0.06042476146763416,4,joint_2_1,-0.018151424220741025,-1.0399999999999998,0.0,0.018151424220741025,
1786429981.0735776,0.02210235595703125,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.0,0.0,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.01042476146763416,0.06042476146763416,4,joint_2_1,-0.018151424220741025,-1.0399999999999998,0.0,0.018151424220741025,
1786429981.0791714,0.02769613265991211,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.0,0.0,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.010425034623248645,0.06042503462324865,4,joint_2_1,-0.01850049007113989,-1.0599999999999998,0.0,0.01850049007113989,
1786429981.0845723,0.033097028732299805,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.0,0.0,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.010425034623248645,0.06042503462324865,4,joint_2_1,-0.01850049007113989,-1.0599999999999998,0.0,0.01850049007113989,
1786429981.0901468,0.03867149353027344,1,1,5,joint_2_2,0.05,1,0.05,-0.00017453292519943294,-0.009999999999999998,-0.0313093600058031,-5.616567893151704,-0.00017453292519943294,-0.009999999999999998,0.0,5.0,116.0,0.010428042560058427,0.06042804256005843,4,joint_2_1,-0.020420352248333655,-1.17,0.0,0.020420352248333655,
1786429981.0955744,0.04409909248352051,1,1,5,joint_2_2,0.05,1,0.05,-0.00017453292519943294,-0.009999999999999998,0.0,5.768547063904238,-0.00017453292519943294,-0.009999999999999998,0.0,5.0,116.0,0.010428042560058427,0.06042804256005843,4,joint_2_1,-0.020420352248333655,-1.17,0.0,0.020420352248333655,
1786429981.1012766,0.04980134963989258,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.03060769102712223,5.367644809375042,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.010424377375829592,0.06042437737582959,4,joint_2_1,-0.021642082724729686,-1.24,0.0,0.021642082724729686,
1786429981.1067154,0.05524015426635742,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.0,-5.627650399168108,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.010424377375829592,0.06042437737582959,4,joint_2_1,-0.021642082724729686,-1.24,0.0,0.021642082724729686,
1786429981.1123097,0.060834407806396484,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.0,0.0,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.010424052240999659,0.060424052240999664,4,joint_2_1,-0.023038346126325146,-1.3199999999999998,0.0,0.023038346126325146,
1786429981.117691,0.06621575355529785,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.0,0.0,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.010424052240999659,0.060424052240999664,4,joint_2_1,-0.023038346126325146,-1.3199999999999998,0.0,0.023038346126325146,
1786429981.123288,0.07181262969970703,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.0,0.0,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.010424168650831529,0.06042416865083153,4,joint_2_1,-0.025481807079117208,-1.4599999999999997,0.0,0.025481807079117208,
1786429981.1286917,0.07721638679504395,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.0,0.0,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.010424168650831529,0.06042416865083153,4,joint_2_1,-0.025481807079117208,-1.4599999999999997,0.0,0.025481807079117208,
1786429981.1342714,0.08279609680175781,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.0,0.0,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.010423053336365182,0.06042305333636518,4,joint_2_1,-0.02687807048071267,-1.5399999999999998,0.0,0.02687807048071267,
1786429981.1396506,0.08817529678344727,1,1,5,joint_2_2,0.05,1,0.05,0.0,0.0,0.0,0.0,-0.00017453292519943294,-0.009999999999999998,0.00017453292519943294,5.0,116.0,0.010423053336365182,0.06042305333636518,4,joint_2_1,-0.02687807048071267,-1.5399999999999998,0.0,0.02687807048071267,
1786429981.1452584,0.09378314018249512,1,1,5,joint_2_2,0.05,1,0.05,0.0003490658503988659,0.019999999999999997,0.06224600538205709,11.09981163037216,-0.00017453292519943294,-0.009999999999999998,0.0005235987755982988,5.0,116.0,0.010418008767369053,0.06041800876736905,4,joint_2_1,-0.028448866807507567,-1.63,0.0,0.028448866807507567,
1786429981.1507268,0.09925150871276855,1,1,5,joint_2_2,0.05,1,0.05,0.0003490658503988659,0.019999999999999997,0.0,-11.382920707969287,-0.00017453292519943294,-0.009999999999999998,0.0005235987755982988,5.0,116.0,0.010418008767369053,0.06041800876736905,4,joint_2_1,-0.028448866807507567,-1.63,0.0,0.028448866807507567,
1786429981.1563187,0.1048433780670166,1,1,5,joint_2_2,0.05,1,0.05,0.0019198621771937623,0.10999999999999999,0.2809071935133087,50.23493499538009,-0.00017453292519943294,-0.009999999999999998,0.0020943951023931952,5.0,116.0,0.010394012176979594,0.060394012176979595,4,joint_2_1,-0.024609142453120045,-1.41,0.0,0.024609142453120045,
