time,sample_time,trial_id,rep,joint_index,joint_name,effort_mag,direction,test_effort,q,q_deg,qdot,qddot,q_start,q_start_deg,q_delta,safe_min_deg,safe_max_deg,gravity_effort,command_effort,lock_joint_index,lock_joint_name,lock_q,lock_q_deg,lock_target,lock_err,stop_reason
1786430310.6961145,4.839897155761719e-05,1,1,6,joint_2_3,0.05,1,0.05,-1.578650308428871,-90.45,0.0,0.0,-1.578650308428871,-90.45,0.0,-85.0,85.0,0.01038905494308556,0.060389054943085566,4,joint_2_1,-0.008203047484373348,-0.47,0.0,0.008203047484373348,
1786430310.7017014,0.005635261535644531,1,1,6,joint_2_3,0.05,1,0.05,-1.578650308428871,-90.45,0.0,0.0,-1.578650308428871,-90.45,0.0,-85.0,85.0,0.010388834851006955,0.06038883485100696,4,joint_2_1,-0.010471975511965976,-0.6,0.0,0.010471975511965976,
1786430310.7072818,0.011215686798095703,1,1,6,joint_2_3,0.05,1,0.05,-1.578650308428871,-90.45,0.0,0.0,-1.578650308428871,-90.45,0.0,-85.0,85.0,0.010388834851006955,0.06038883485100696,4,joint_2_1,-0.010471975511965976,-0.6,0.0,0.010471975511965976,
1786430310.7128623,0.016796112060546875,1,1,6,joint_2_3,0.05,1,0.05,-1.5789993742792698,-90.47,-0.06255183681924609,-11.20915232753615,-1.578650308428871,-90.45,-0.0003490658503988442,-85.0,85.0,0.010386854194430204,0.060386854194430205,4,joint_2_1,-0.013439035240356336,-0.7699999999999999,0.0,0.013439035240356336,
1786430310.7183127,0.022246599197387695,1,1,6,joint_2_3,0.05,1,0.05,-1.5789993742792698,-90.47,0.0,11.476375459442332,-1.578650308428871,-90.45,-0.0003490658503988442,-85.0,85.0,0.010386854194430204,0.060386854194430205,4,joint_2_1,-0.013439035240356336,-0.7699999999999999,0.0,0.013439035240356336,
1786430310.7239277,0.027861595153808594,1,1,6,joint_2_3,0.05,1,0.05,-1.5789993742792698,-90.47,0.0,0.0,-1.578650308428871,-90.45,-0.0003490658503988442,-85.0,85.0,0.01038515202601361,0.06038515202601361,4,joint_2_1,-0.01658062789394613,-0.95,0.0,0.01658062789394613,
1786430310.729456,0.03338980674743652,1,1,6,joint_2_3,0.05,1,0.05,-1.5789993742792698,-90.47,0.0,0.0,-1.578650308428871,-90.45,-0.0003490658503988442,-85.0,85.0,0.01038515202601361,0.06038515202601361,4,joint_2_1,-0.01658062789394613,-0.95,0.0,0.01658062789394613,
1786430310.7350712,0.03900504112243652,1,1,6,joint_2_3,0.05,1,0.05,-1.5789993742792698,-90.47,0.0,0.0,-1.578650308428871,-90.45,-0.0003490658503988442,-85.0,85.0,0.010385051390672332,0.06038505139067234,4,joint_2_1,-0.01972222054753592,-1.13,0.0,0.01972222054753592,
1786430310.7405102,0.04444408416748047,1,1,6,joint_2_3,0.05,1,0.05,-1.5789993742792698,-90.47,0.0,0.0,-1.578650308428871,-90.45,-0.0003490658503988442,-85.0,85.0,0.010385051390672332,0.06038505139067234,4,joint_2_1,-0.01972222054753592,-1.13,0.0,0.01972222054753592,
1786430310.7460818,0.05001568794250488,1,1,6,joint_2_3,0.05,1,0.05,-1.5789993742792698,-90.47,0.0,0.0,-1.578650308428871,-90.45,-0.0003490658503988442,-85.0,85.0,0.010383512088965999,0.060383512088966,4,joint_2_1,-0.02617993877991494,-1.5,0.0,0.02617993877991494,
1786430310.751476,0.055409908294677734,1,1,6,joint_2_3,0.05,1,0.05,-1.5789993742792698,-90.47,0.0,0.0,-1.578650308428871,-90.45,-0.0003490658503988442,-85.0,85.0,0.010383512088965999,0.060383512088966,4,joint_2_1,-0.02617993877991494,-1.5,0.0,0.02617993877991494,
1786430310.7570522,0.06098604202270508,1,1,6,joint_2_3,0.05,1,0.05,-1.5783012425784722,-90.42999999999999,0.12519995660948124,22.452825329526835,-1.578650308428871,-90.45,0.0003490658503988442,-85.0,85.0,0.010383871670281014,0.06038387167028102,4,joint_2_1,-0.03263765701229396,-1.8699999999999997,0.0,0.03263765701229396,
1786430310.7626014,0.06653523445129395,1,1,6,joint_2_3,0.05,1,0.05,-1.5783012425784722,-90.42999999999999,0.0,-22.561833675917235,-1.578650308428871,-90.45,0.0003490658503988442,-85.0,85.0,0.010383871670281014,0.06038387167028102,4,joint_2_1,-0.03263765701229396,-1.8699999999999997,0.0,0.03263765701229396,
1786430310.768237,0.07217097282409668,1,1,6,joint_2_3,0.05,1,0.05,-1.577079512102076,-90.35999999999999,0.21678268144810853,38.465710632393915,-1.578650308428871,-90.45,0.001570796326795021,-85.0,85.0,0.010386257445164217,0.060386257445164224,4,joint_2_1,-0.03385938748868999,-1.9399999999999997,0.0,0.03385938748868999,
1786430310.7736478,0.07758164405822754,1,1,6,joint_2_3,0.05,1,0.05,-1.577079512102076,-90.35999999999999,0.0,-40.06576486862287,-1.578650308428871,-90.45,0.001570796326795021,-85.0,85.0,0.010386257445164217,0.060386257445164224,4,joint_2_1,-0.03385938748868999,-1.9399999999999997,0.0,0.03385938748868999,
1786430310.7792194,0.08315324783325195,1,1,6,joint_2_3,0.05,1,0.05,-1.5760323145508794,-90.3,0.1879526243217006,33.73402558958475,-1.578650308428871,-90.45,0.0026179938779915535,-85.0,85.0,0.010388651718333895,0.060388651718333894,4,joint_2_1,-0.03385938748868999,-1.9399999999999997,0.0,0.03385938748868999,
1786430310.7846482,0.08858203887939453,1,1,6,joint_2_3,0.05,1,0.05,-1.5760323145508794,-90.3,0.0,-34.62145120786149,-1.578650308428871,-90.45,0.0026179938779915535,-85.0,85.0,0.010388651718333895,0.060388651718333894,4,joint_2_1,-0.03385938748868999,-1.9399999999999997,0.0,0.03385938748868999,
