time,sample_time,trial_id,rep,joint_index,joint_name,effort_mag,direction,test_effort,q,q_deg,qdot,qddot,q_start,q_start_deg,q_delta,safe_min_deg,safe_max_deg,gravity_effort,command_effort,lock_joint_index,lock_joint_name,lock_q,lock_q_deg,lock_target,lock_err,stop_reason
1786425267.449747,0.00017881393432617188,1,1,17,joint_5_2,0.05,1,0.05,-0.14084807063594237,-8.069999999999999,-0.09595126000030701,-17.583395387291493,-0.14032447186034408,-8.04,-0.000523598775598294,0.0,85.0,0.0019219079726260808,0.05192190797262608,-1,none,0.0,0.0,0.0,0.0,
1786425267.4552908,0.005722522735595703,1,1,17,joint_5_2,0.05,1,0.05,-0.14084807063594237,-8.069999999999999,0.0,17.30813493997625,-0.14032447186034408,-8.04,-0.000523598775598294,0.0,85.0,0.0019219079726260808,0.05192190797262608,-1,none,0.0,0.0,0.0,0.0,
1786425267.4607527,0.011184453964233398,1,1,17,joint_5_2,0.05,1,0.05,-0.14416419621473162,-8.26,-0.6071342607542028,-111.15743412712891,-0.14032447186034408,-8.04,-0.003839724354387536,0.0,85.0,0.001970674050964093,0.051970674050964095,-1,none,0.0,0.0,0.0,0.0,
1786425267.4660883,0.016520023345947266,1,1,17,joint_5_2,0.05,1,0.05,-0.14416419621473162,-8.26,0.0,113.7899664157646,-0.14032447186034408,-8.04,-0.003839724354387536,0.0,85.0,0.001970674050964093,0.051970674050964095,-1,none,0.0,0.0,0.0,0.0,
1786425267.4715984,0.022030115127563477,1,1,17,joint_5_2,0.05,1,0.05,-0.14695672301792254,-8.42,-0.5068022301385007,-91.97709407117104,-0.14032447186034408,-8.04,-0.006632251157578456,0.0,85.0,0.002011723435650144,0.052011723435650144,-1,none,0.0,0.0,0.0,0.0,
1786425267.4769094,0.027341127395629883,1,1,17,joint_5_2,0.05,1,0.05,-0.14695672301792254,-8.42,0.0,95.42478995685194,-0.14032447186034408,-8.04,-0.006632251157578456,0.0,85.0,0.002011723435650144,0.052011723435650144,-1,none,0.0,0.0,0.0,0.0,
1786425267.482668,0.03309965133666992,1,1,17,joint_5_2,0.05,1,0.05,-0.14957471689591403,-8.57,-0.45462932945949786,-78.94893450375893,-0.14032447186034408,-8.04,-0.009250245035569954,0.0,85.0,0.0020488255220192037,0.052048825522019206,-1,none,0.0,0.0,0.0,0.0,
1786425267.488009,0.038440704345703125,1,1,17,joint_5_2,0.05,1,0.05,-0.14957471689591403,-8.57,0.0,85.11979354831219,-0.14032447186034408,-8.04,-0.009250245035569954,0.0,85.0,0.0020488255220192037,0.052048825522019206,-1,none,0.0,0.0,0.0,0.0,
1786425267.4935079,0.04393959045410156,1,1,17,joint_5_2,0.05,1,0.05,-0.141895268187139,-8.13,1.3965462381638052,253.9689330955342,-0.14032447186034408,-8.04,-0.0015707963267949099,0.0,85.0,0.001937310095492444,0.05193731009549245,-1,none,0.0,0.0,0.0,0.0,
1786425267.4989727,0.04940438270568848,1,1,17,joint_5_2,0.05,1,0.05,-0.141895268187139,-8.13,0.0,-255.55339962983294,-0.14032447186034408,-8.04,-0.0015707963267949099,0.0,85.0,0.001937310095492444,0.05193731009549245,-1,none,0.0,0.0,0.0,0.0,
