source_file,trial_id,joint_index,joint_name,direction,effort_mag,test_effort,duration,q_start,q_end,q_delta,qdot_fit,stop_reason,gravity_mean,command_mean,n_samples,exclude_reason
hand_friction_sweep_joint1_joint_1_2_20260811_142927.csv,18,1,joint_1_2,-1,0.05,-0.05,7.438207626342773,-0.0792379480405425,-1.5763813804012785,-1.497143432360736,-0.20127744580005133,q_not_changing,3.245398763829954e-05,-0.04996754601236164,1366,invalid_stop_reason;
hand_friction_sweep_joint2_joint_1_3_20260811_150801.csv,1,2,joint_1_3,1,0.05,0.05,8.004253625869751,-1.6023867862559935,0.9149015938954276,2.517288380151421,0.31449383013246157,timeout,0.004490530218696936,0.0544905302186969,1452,invalid_stop_reason;
hand_friction_sweep_joint2_joint_1_3_20260811_150801.csv,2,2,joint_1_3,-1,0.05,-0.05,5.019958734512329,1.5683528658421044,1.0395181024878226,-0.5288347633542818,-0.1053464363598312,q_not_changing,0.011098956263780815,-0.03890104373621909,913,invalid_stop_reason;
hand_friction_sweep_joint2_joint_1_3_20260811_150801.csv,3,2,joint_1_3,1,0.05,0.05,7.9999778270721436,-1.60657557646078,0.7810348402674624,2.3876104167282426,0.29845212928572173,timeout,0.004060758068107659,0.05406075806810763,1455,invalid_stop_reason;
hand_friction_sweep_joint2_joint_1_3_20260811_150801.csv,4,2,joint_1_3,-1,0.05,-0.05,3.821246147155762,1.565385806113714,1.163785545229819,-0.4016002608838951,-0.10509667407393136,q_not_changing,0.01034669931202421,-0.03965330068797569,696,invalid_stop_reason;
hand_friction_sweep_joint2_joint_1_3_20260811_150801.csv,5,2,joint_1_3,1,0.05,0.05,8.000075817108154,-1.599245193602404,0.7058111495065068,2.3050563431089106,0.28812931224721017,timeout,0.00372632912868321,0.05372632912868318,1454,invalid_stop_reason;
hand_friction_sweep_joint2_joint_1_3_20260811_150801.csv,6,2,joint_1_3,-1,0.05,-0.05,3.212120294570923,1.5680037999917056,1.163087413529021,-0.4049163864626846,-0.12605891103987235,q_not_changing,0.010100413041584856,-0.03989958695841505,585,invalid_stop_reason;
hand_friction_sweep_joint2_joint_1_3_20260811_150801.csv,7,2,joint_1_3,1,0.05,0.05,8.004111766815186,-1.5908676131928312,0.7560766319639435,2.3469442451567746,0.29321732548602547,timeout,0.0039929865998233815,0.05399298659982335,1455,invalid_stop_reason;
hand_friction_sweep_joint2_joint_1_3_20260811_150801.csv,8,2,joint_1_3,-1,0.05,-0.05,3.820906639099121,1.5638150097869192,1.163785545229819,-0.4000294645571003,-0.10469490682227654,q_not_changing,0.010263670122896699,-0.0397363298771032,696,invalid_stop_reason;
hand_friction_sweep_joint2_joint_1_3_20260811_150801.csv,9,2,joint_1_3,1,0.05,0.05,8.001706838607788,-1.5966271997244126,0.7511897100583593,2.3478169097827717,0.2934145123206322,timeout,0.004018621788349602,0.054018621788349576,1455,invalid_stop_reason;
hand_friction_sweep_joint2_joint_1_3_20260811_150801.csv,10,2,joint_1_3,-1,0.05,-0.05,3.827543020248413,1.565385806113714,1.163785545229819,-0.4016002608838951,-0.10492377453613327,q_not_changing,0.010220831682401135,-0.03977916831759877,697,invalid_stop_reason;
hand_friction_sweep_joint2_joint_1_3_20260811_150801.csv,11,2,joint_1_3,1,0.05,0.05,2.0032870769500732,-1.5954054692480164,-1.4419910279977148,0.15341444125030157,0.07658135621973317,q_not_changing,-0.006013299749364724,0.04398670025063519,364,invalid_stop_reason;
hand_friction_sweep_joint2_joint_1_3_20260811_150801.csv,12,2,joint_1_3,-1,0.05,-0.05,3.8287453651428223,1.5744615182240844,1.1669271378834083,-0.40753438034067613,-0.10644071137529774,q_not_changing,0.010112079205034348,-0.03988792079496555,697,invalid_stop_reason;
hand_friction_sweep_joint2_joint_1_3_20260811_150801.csv,13,2,joint_1_3,1,0.05,0.05,8.004316329956055,-1.599245193602404,0.7572983624403395,2.3565435560427437,0.2944090986538611,timeout,0.004234035754282594,0.054234035754282574,1456,invalid_stop_reason;
